startup_name,vertical,subvertical,location,investors_name,investment_type,amount_in_usd
BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,200000000.0
Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0
Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860.0
https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0
Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0
Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0
Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0
Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0
Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0
Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0
Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000.0
InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000.0
Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,2000000.0
Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0
Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0
Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0
Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0
Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0
Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0
Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000.0
Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0
SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0
Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0
eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0
Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0
Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0
Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0
Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0
Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,45000000.0
Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0
FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0
Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0
Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0
3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0
75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed,1000000.0
Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0
GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0
Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0
CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0
Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0
MyPetrolPump,Retail,Fuel Delivery,Bangalore,,Seed Funding Round,1600000.0
Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0
Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0
Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,125000000.0
Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0
Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0
Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0
Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0
Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0
INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0
HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,6590000.0
AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000.0
Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0
Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,3900000000.0
RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0
Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0
WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0
Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0
Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0
Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0
"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,150000000.0
Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0
Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0
Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0
HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0
House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0
Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0
NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,51000000.0
Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0
Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,9000000.0
BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000.0
Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0
Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,pre-Series A,2500000.0
Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0
Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,15109500.0
Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,430200.0
OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0
Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0
Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0
Leegality,Services,Digital Documentation,Mumbai,Mumbai Angels,Series A,3400000.0
Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,868600.0
BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0
Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0
