sr_no,date,name,industry,sub_vertical,city,investor,investment type,amount_usd,remarks,year,month,day
1,9/1/20,BYJU’S,E-TECH,E-learning,Bengaluru,TIGER GLOBAL MANAGEMENT,Private Equity Round,200000000,,2020,9,1
2,1/13/20,Shuttl,TRANSPORTATION,App based shuttle service,Gurgaon,SUSQUEHANNA GROWTH EQUITY,Series C,8048394,,2020,1,13
3,9/1/20,Mamaearth,E-COMMERCE,"Retailer of baby,toddler products",Bengaluru,SEQUOIA CAPITAL INDIA,Series B,18358860,,2020,9,1
4,2/1/20,https://www.wealthbucket.in/,FINTECH,Online Investment,New Delhi,VINOD KHATUMAL,Pre-series A,3000000,,2020,2,1
5,2/1/20,Fashor,"FASHION,APPAREL",Embroiled Clothes For Women,Mumbai,SPROUT VENTURE PARTNERS,Seed Round,1800000,,2020,2,1
6,1/13/20,Pando,LOGISTICS,"Open-market, freight management platform",Chennai,CHIRATAE VENTURES,Series A,9000000,,2020,1,13
7,10/1/20,Zomato,HOSPITALITY,Online Food Delivery Platform,Gurgaon,ANT FINANCIAL,Private Equity Round,150000000,,2020,10,1
8,12/12/19,Ecozen,TECHNOLOGY,Agritech,Pune,SATHGURU CATALYZER ADVISORS,Series A,6000000,,2019,12,12
9,6/12/19,CarDekho,E-COMMERCE,Automobile,Gurgaon,PING AN GLOBAL VOYAGER FUND,Series D,70000000,,2019,6,12
10,3/12/19,Dhruva Space,AEROSPACE,Satellite Communication,Bengaluru,"MUMBAI ANGELS, RAVIKANTH REDDY",Seed,50000000,,2019,3,12
11,12/13/19,Rivigo,TECHNOLOGY,"Logistics Services,Solutions",Gurgaon,"SAIF PARTNERS, SPRING CANTER INVESTMENT LTD.",Series F,20000000,,2019,12,13
12,12/17/19,Healthians,B2B-FOCUSED FOODTECH STARTUP,Food Solutions For Corporate,Bengaluru,"PAYTM, NPTK, SABRE PARTNERS,NEOPLUX",Series C,12000000,,2019,12,17
13,12/16/19,Licious,E-COMMERCE,Online Meat And Seafood Ordering Startup,Bengaluru,VERTEX GROWTH FUND,Series E,30000000,,2019,12,16
14,12/16/19,InCred,FINANCE,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000,,2019,12,16
15,12/14/19,Trell,VIDEO,Experience Discovery Platform,Bengaluru,RUIZHENG INVESTMENT,Seed Round,2000000,,2019,12,14
16,11/12/19,Rein Games,GAMING,Real money based gaming startup,Noida,"MANIPAL EDUCATION,MEDICAL GROUP (MEMG)",Seed Round,50000000,,2019,11,12
17,12/20/19,Lenskart.com,E-COMMERCE,Online Eyewear Shopping Portal,Faridabad,SOFTBANK VISION FUND,Series G,231000000,,2019,12,20
18,11/13/19,Freshworks,SOFTWARE,"Business,customer engagement tools",San Francisco,"SEQUOIA, CAPITALG, ACCEL",Series H,150000000,,2019,11,13
19,11/14/19,Misters,"HEALTH,WELLNESS","Men's Health,Wellness brand",Gurgaon,"SAUCE.VC, RAINFOREST VENTURES",Series B,486000,,2019,11,14
20,11/13/19,Sunstone Eduversity Pvt. Ltd,EDUCATION,Elearning,Gurgaon,"PRIME VENTURE PARTNERS, LETSVENTURE, PS1 VENTURE,GLOBALLOGIC CO-FOUNDER RAJUL GARG",Seed,1500000,,2019,11,13
21,11/17/19,Burger Singh,"FOOD,BEVERAGE",Indian Burger Brand,Gurgaon,RB INVESTMENTS,Venture,,,2019,11,17
22,11/18/19,Healthians,"HEALTH,WELLNESS",Healthcare services,Gurgaon,"DG DAIWA VENTURES, DG INCUBATION",Series B,12000000,,2019,11,18
23,11/15/19,Ninjacart,B2B MARKETING,Agritech,Bengaluru,TRIFECTA CAPITAL ADVISORS,Debt Funding,26000000,,2019,11,15
24,11/20/19,Aye Finance,FINTECH,Financial Services To MSMEs,Gurgaon,FINTECH,Debt Funding,17411265,,2019,11,20
25,12/11/19,SuperGaming,VIDEO GAMES,Social gaming platform,Pune,DREAM INCUBATOR,Seed Funding,1300000,,2019,12,11
26,11/20/19,Clumio,SAAS,Recovery software,"San Jose,","ALTIMETER CAPITAL, SUTTER HILL VENTURES",Series C,135000000,,2019,11,20
27,11/11/19,eBikeGo,LAST MILE TRANSPORTATION,Electric bike rental,Amritsar,STARTUP BUDDY,Seed,300000,,2019,11,11
28,11/19/19,Digital Mall Asia,E-COMMERCE,Virtual e-commerce platform,Delhi,AMOUR INFRASTRUCTURE,Seed Funding,220000000,,2019,11,19
29,11/18/19,Medikabazaar,HEALTHCARE,B2B platform for medical supplies,Mumbai,"ACKERMANS,VAN HAAREN, HEALTHQUAD, REBRIGHT PARTNERS, TOPPAN PRINTING",Series B,15800000,,2019,11,18
30,11/15/19,Vogo Automotive,LAST MILE TRANSPORTATION,Scooter sharing app,Kormangala,"MATRIX PARTNERS, STELLARIS VENTURE PARTNERS, KALAARI CAPITAL",Series B,283000000,,2019,11,15
31,11/19/19,Furtados School of Music,EDUCATION,Music Education,Tulangan,"IAN FUND,DSG CONSUMER PARTNERS",,200000000,,2019,11,19
32,11/25/19,Paytm,FINTECH,Mobile Wallet,Noida,VIJAY SHEKHAR SHARMA,Funding Round,1000000000,,2019,11,25
33,4/10/19,Dunzo,CUSTOMER SERVICE,Delivery Service,Bengaluru,LIGHTBOX,Series D,45000000,,2019,4,10
34,2/10/19,Udaan,B2B,Business development,Bengaluru,"ALTIMETER CAPITAL, DST GLOBAL",Series D,585000000,,2019,2,10
35,10/21/19,The Man Company,CONSUMER GOODS,"Beauty,Grooming",Gurgaon,AYUSHMANN KHURANA,Corporate Round,,,2019,10,21
